Z,Z_max_ok,Symbol_rex_ok,AtomicWeight_max_ok,AtomicWeight_nonnull_ok,Etymology_nonnull_ok,Etymology_rex_ok,RelativeAtomicMass_max_ok,RelativeAtomicMass_nonnull_ok,MeltingPointC_nonnull_ok,MeltingPointKelvin_nonnull_ok,BoilingPointC_nonnull_ok,BoilingPointF_nonnull_ok,Density_max_ok,Density_nonnull_ok,n_failures
2,true,true,true,true,true,true,true,true,false,false,true,true,true,true,2
93,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1
94,false,true,false,true,true,true,false,true,true,true,true,true,true,true,3
95,false,true,false,true,true,true,false,true,true,true,true,true,true,true,3
96,false,true,false,true,true,false,false,true,true,true,true,true,true,true,4
97,false,true,false,true,true,false,false,true,true,true,true,true,true,true,4
98,false,true,false,true,true,false,false,true,true,true,true,true,true,true,4
99,false,true,false,true,true,true,false,true,true,true,false,false,true,true,5
100,false,true,false,true,true,true,false,true,false,false,false,false,,false,8
101,false,true,false,true,true,true,false,true,false,false,false,false,,false,8
102,false,true,false,true,true,true,false,true,false,false,false,false,,false,8
103,false,true,false,true,true,false,false,true,false,false,false,false,true,true,8
104,false,true,false,true,true,true,false,true,false,false,false,false,true,true,7
105,false,true,false,true,true,false,false,true,false,false,false,false,false,true,9
106,false,true,false,true,true,false,false,true,false,false,false,false,false,true,9
107,false,true,false,true,true,true,false,true,false,false,false,false,false,true,8
108,false,true,false,true,true,false,false,true,false,false,false,false,false,true,9
109,false,true,false,true,true,true,false,true,false,false,false,false,false,true,8
110,false,true,false,true,true,false,false,true,false,false,false,false,true,true,8
111,false,true,false,true,true,false,false,true,false,false,false,false,true,true,8
112,false,false,false,true,true,false,false,true,false,false,false,false,true,true,9
113,false,false,false,true,true,false,false,true,false,false,false,false,true,true,9
114,false,false,false,true,true,false,false,true,false,false,false,false,true,true,9
115,false,false,false,true,true,false,false,true,false,false,false,false,true,true,9
116,false,false,false,true,true,false,false,true,false,false,false,false,true,true,9
117,false,false,,false,false,,,false,false,false,false,false,,false,10
118,false,false,false,true,true,false,false,true,false,false,false,false,,false,10
